informant,project,sex,age,ethnicity,education,occupation,latitude,longitude,attic
NY5G,LAMSAS,Male,50,White,At least some high school,"Manager, official, or proprietor",40.625,-74,attic
NY5H!,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,40.69528,-73.99416,attic
NY5H!,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,40.69528,-73.99416,garret
NY5I!,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,40.76528,-73.81778,attic
NY6A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,40.53722,-74.195,attic
NY6B,LAMSAS,Female,48,White,At least some high school,Keeping house,40.51056,-74.24306,attic
NY7A,LAMSAS,Male,45,White,Between 1 and 8 years,Laborer,40.71417,-74.00639,attic
NY7B,LAMSAS,Male,39,White,Between 1 and 8 years,Operative,40.8125,-73.95,attic
NY7C,LAMSAS,Female,43,White,Between 1 and 8 years,Keeping house,40.80139,-73.96389,attic
NY7D,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,40.83333,-73.94722,attic
NY7E,LAMSAS,Male,63,White,At least some high school,Clerical or sales position,40.67,-73.99805,attic
NY7F,LAMSAS,Female,67,White,At least some high school,Clerical or sales position,40.79722,-73.96778,attic
NY7G,LAMSAS,Female,55,White,At least some high school,Keeping house,40.79167,-73.93333,attic
NY7H,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,40.75,-74,attic
NY7I,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,40.75417,-73.97639,attic
NY7J!,LAMSAS,Female,59,White,At least some high school,Other (see notes),40.76167,-73.96806,attic
NY7K!,LAMSAS,Male,60,White,At least some college or beyond,Professional or technical job,40.77472,-73.95695,attic
NY7L!,LAMSAS,Female,76,White,At least some high school,Professional or technical job,40.76111,-73.96778,garret
NY7L!,LAMSAS,Female,76,White,At least some high school,Professional or technical job,40.76111,-73.96778,garret
NY7M!,LAMSAS,Female,62,White,At least some high school,Keeping house,40.76389,-73.97833,attic
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,garret
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805,attic
NY9A,LAMSAS,Female,75,White,Between 1 and 8 years,Other (see notes),41.07611,-73.85917,attic
NY9B,LAMSAS,Male,77,White,At least some high school,Farmer,41.20417,-73.64417,garret
NY9C,LAMSAS,Female,55,White,At least some high school,Keeping house,41.26305,-73.61389,attic
NY10A,LAMSAS,Male,59,White,Unknown,Farmer,41.30194,-74.56194,garret
NY10A,LAMSAS,Male,59,White,Unknown,Farmer,41.30194,-74.56194,attic
NY10B!,LAMSAS,Female,63,White,At least some high school,Keeping house,41.40194,-74.32472,garret
NY11,LAMSAS,Female,42,White,At least some college or beyond,Keeping house,41.33583,-73.87444,attic
NY11,LAMSAS,Female,42,White,At least some college or beyond,Keeping house,41.33583,-73.87444,garret
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,attic
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611,garret
NY12B,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,41.70028,-73.66695,garret
NY12B,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,41.70028,-73.66695,attic
NY12C!,LAMSAS,Female,65,White,At least some high school,"Manager, official, or proprietor",41.70028,-73.92139,attic
NY12C!,LAMSAS,Female,65,White,At least some high school,"Manager, official, or proprietor",41.70028,-73.92139,garret
NY13A,LAMSAS,Male,81,White,At least some high school,Farmer,42.03861,-73.98695,garret
NY13B!,LAMSAS,Female,68,White,At least some high school,Other (see notes),41.92445,-74.06167,attic
NY13B!,LAMSAS,Female,68,White,At least some high school,Other (see notes),41.92445,-74.06167,garret
NY14A,LAMSAS,Male,78,White,At least some high school,Farmer,41.84778,-74.54833,attic
NY14A,LAMSAS,Male,78,White,At least some high school,Farmer,41.84778,-74.54833,garret
NY14B,LAMSAS,Male,46,White,At least some high school,Farmer,41.65556,-74.68972,attic
NY14B,LAMSAS,Male,46,White,At least some high school,Farmer,41.65556,-74.68972,garret
NY15A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,42.2625,-74.30139,garret
NY15A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,42.2625,-74.30139,attic
NY15B,LAMSAS,Male,49,White,At least some high school,Farmer,42.27028,-74.30334,attic
NY16A,LAMSAS,Male,66,White,At least some high school,Farmer,42.085,-73.8275,garret
NY16B,LAMSAS,Male,61,White,At least some high school,Farmer,42.25278,-73.79139,garret
NY16B,LAMSAS,Male,61,White,At least some high school,Farmer,42.25278,-73.79139,attic
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,up garret
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055,garret
NY17B,LAMSAS,Male,45,White,At least some high school,Farmer,42.5125,-73.70611,attic
NY17B,LAMSAS,Male,45,White,At least some high school,Farmer,42.5125,-73.70611,garret
NY18A,LAMSAS,Male,82,White,At least some high school,Farmer,42.61639,-74.075,garret
NY18B,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,42.70055,-74.03416,attic
NY18C!,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",42.6525,-73.75667,attic
NY18C!,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",42.6525,-73.75667,garret
NY18C!,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",42.6525,-73.75667,garret
NY19,LAMSAS,Male,52,White,At least some high school,Farmer,42.76194,-74.13416,attic
NY20A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.53056,-74.25861,attic
NY20A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.53056,-74.25861,garret
NY20B,LAMSAS,Male,35,White,At least some college or beyond,Farmer,42.79583,-74.6175,attic
NY21,LAMSAS,Male,73,White,At least some high school,Farmer,42.85917,-74.74611,attic
NY22,LAMSAS,Male,51,White,At least some high school,Farmer,43.05278,-74.34417,attic
NY22,LAMSAS,Male,51,White,At least some high school,Farmer,43.05278,-74.34417,garret
NY23A,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",43.24445,-73.83278,attic
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611,attic
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222,attic
NY24A,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417,garret
NY24B!,LAMSAS,Female,61,White,At least some high school,Other (see notes),43.26694,-73.585,attic
NY24B!,LAMSAS,Female,61,White,At least some high school,Other (see notes),43.26694,-73.585,garret
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,attic
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,loft
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,big room
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,garret
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167,attic
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666,attic
NY26A,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,43.47083,-74.41306,attic
NY26A,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,43.47083,-74.41306,garret
NY26B,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222,attic
NY26C,LAMSAS,Male,54,White,At least some high school,"Manager, official, or proprietor",43.48889,-74.35555,attic
NY27A,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,43.84861,-73.42389,upstairs
NY27A,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,43.84861,-73.42389,garret
NY27B,LAMSAS,Female,82,White,At least some high school,"Manager, official, or proprietor",43.85556,-73.44028,attic
NY27C,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,43.83333,-73.42223,attic
NY28A,LAMSAS,Female,54,White,Between 1 and 8 years,Keeping house,44.69944,-73.45333,attic
NY28A,LAMSAS,Female,54,White,Between 1 and 8 years,Keeping house,44.69944,-73.45333,storerooms
NY28B,LAMSAS,Female,87,White,At least some college or beyond,Keeping house,44.88972,-73.43639,attic
NY28C,LAMSAS,Female,85,White,Unknown,Keeping house,44.98639,-73.44695,garret
NY28C,LAMSAS,Female,85,White,Unknown,Keeping house,44.98639,-73.44695,attic
NY29A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,44.85778,-74.03389,woodshed chamber
NY29B,LAMSAS,Male,67,White,Between 1 and 8 years,Operative,44.84861,-74.29528,attic
NY29C,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",44.84167,-74.29166,kitchen chamber
NY29C,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",44.84167,-74.29166,attic
NY30A,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,44.51056,-74.88805,attic
NY30B,LAMSAS,Male,87,White,Between 1 and 8 years,Craftsman or foreman,44.70555,-74.71528,attic
NY30C,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,44.69028,-74.70361,attic
NY30D,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,44.7,-74.70834,attic
NY30E,LAMSAS,Female,75,White,At least some high school,Keeping house,44.69083,-74.68195,attic
NY31A,LAMSAS,Male,94,White,At least some high school,"Manager, official, or proprietor",44.11444,-75.97417,garret
NY31B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,44.21528,-75.7975,attic
NY31B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,44.21528,-75.7975,atticway
NY32A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,43.56667,-75.42889,attic
NY32B,LAMSAS,Male,71,White,Between 1 and 8 years,Farmer,43.83778,-75.44055,attic
NY33A,LAMSAS,Male,52,White,Between 1 and 8 years,Public Servant,43.71,-74.97472,attic
NY33B,LAMSAS,Male,50,White,At least some high school,Professional or technical job,43.70778,-74.97722,attic
NY33C,LAMSAS,Male,57,White,At least some high school,"Manager, official, or proprietor",43.81833,-74.91556,attic
NY34A,LAMSAS,Male,85,White,At least some college or beyond,Farmer,43.43528,-76.56416,attic
NY34B,LAMSAS,Female,65,White,Between 1 and 8 years,Operative,43.45528,-76.51083,attic
NY34B,LAMSAS,Female,65,White,Between 1 and 8 years,Operative,43.45528,-76.51083,garret
NY34B,LAMSAS,Female,65,White,Between 1 and 8 years,Operative,43.45528,-76.51083,garret
NY34C,LAMSAS,Male,81,White,At least some college or beyond,Professional or technical job,43.56694,-76.12805,attic
NY34D!,LAMSAS,Male,81,White,At least some high school,"Manager, official, or proprietor",43.44361,-76.51945,attic
NY34D!,LAMSAS,Male,81,White,At least some high school,"Manager, official, or proprietor",43.44361,-76.51945,garret
NY34D!,LAMSAS,Male,81,White,At least some high school,"Manager, official, or proprietor",43.44361,-76.51945,cuddy
NY35A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,43.03444,-76.44833,attic
NY35B,LAMSAS,Female,45,White,At least some high school,Keeping house,42.97805,-75.93333,attic
NY35C!,LAMSAS,Male,62,White,At least some high school,"Manager, official, or proprietor",43.04805,-76.14778,attic
NY36A,LAMSAS,Male,78,White,At least some high school,Farmer,42.93,-75.85306,garret
NY36B,LAMSAS,Male,52,White,At least some high school,Farmer,42.96722,-75.68833,attic
NY37A,LAMSAS,Female,80,White,At least some high school,Keeping house,43.30333,-75.51833,attic
NY37B,LAMSAS,Male,42,White,At least some high school,Private household worker or gardener,43.13667,-75.25945,attic
NY37C!,LAMSAS,Female,52,White,At least some high school,Keeping house,43.10083,-75.23306,attic
NY38A,LAMSAS,Male,81,White,At least some high school,Farmer,42.9325,-75.0375,attic
NY38B,LAMSAS,Male,54,White,At least some high school,Farmer,43.015,-75.03584,attic
NY38C,LAMSAS,Female,,White,Unknown,Unknown,42.96139,-74.90361,attic
NY39A,LAMSAS,Male,79,White,At least some high school,Farmer,42.59139,-74.75083,garret
NY39A,LAMSAS,Male,79,White,At least some high school,Farmer,42.59139,-74.75083,attic
NY39B,LAMSAS,Male,43,White,At least some high school,Farmer,42.78028,-75.02834,attic
NY40A,LAMSAS,Male,79,White,At least some high school,Farmer,42.26194,-74.785,attic
NY40B,LAMSAS,Male,51,White,At least some high school,"Manager, official, or proprietor",42.16945,-75.12972,attic
NY40B,LAMSAS,Male,51,White,At least some high school,"Manager, official, or proprietor",42.16945,-75.12972,garret
NY41,LAMSAS,Male,47,White,At least some high school,Farmer,42.61694,-75.60278,attic
NY42A,LAMSAS,Male,63,White,At least some high school,Farmer,42.42916,-76.49528,attic
NY42A,LAMSAS,Male,63,White,At least some high school,Farmer,42.42916,-76.49528,garret
NY42B,LAMSAS,Male,45,White,At least some high school,Farmer,42.66611,-76.10194,attic
NY43A,LAMSAS,Male,80,White,Unknown,Farmer,42.32889,-75.96806,attic
NY43B,LAMSAS,Male,41,White,At least some high school,Farmer,42.35833,-76.06194,attic
NY43C!,LAMSAS,Female,47,White,At least some high school,Keeping house,42.09861,-75.91833,attic
NY44A,LAMSAS,Male,78,White,At least some high school,Farmer,42.05806,-76.33611,attic
NY44B,LAMSAS,Male,38,White,At least some high school,Farmer,42.14139,-76.43945,attic
NY45A,LAMSAS,Male,72,White,Between 1 and 8 years,Private household worker or gardener,42.10833,-76.83334,garret
NY45B,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,42.20333,-76.88805,attic
NY45C,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,42.13722,-76.93723,attic
NY45C,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,42.13722,-76.93723,attic
NY45D!,LAMSAS,Female,72,White,At least some college or beyond,Other (see notes),42.08972,-76.80805,attic
NY46A,LAMSAS,Male,82,White,Between 1 and 8 years,Craftsman or foreman,42.30556,-77.04945,attic
NY46A,LAMSAS,Male,82,White,Between 1 and 8 years,Craftsman or foreman,42.30556,-77.04945,garret
NY46B,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,42.43028,-76.93305,attic
NY46C,LAMSAS,Female,73,White,Between 1 and 8 years,Keeping house,42.34861,-76.95667,attic
NY47A,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111,garret
NY47A,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111,attic
NY47A,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111,attic
NY47B,LAMSAS,Male,40,White,At least some college or beyond,Farmer,42.49083,-76.2975,attic
NY47B,LAMSAS,Male,40,White,At least some college or beyond,Farmer,42.49083,-76.2975,garret
NY48A,LAMSAS,Male,78,White,Between 1 and 8 years,Public Servant,43.16806,-76.57333,attic
NY48B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,43.16555,-76.53722,open room
NY48B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,43.16555,-76.53722,garret
NY48B,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,43.16555,-76.53722,cupboard
NY48C,LAMSAS,Male,63,White,At least some high school,Farmer,43.22139,-76.55666,garret
NY48C,LAMSAS,Male,63,White,At least some high school,Farmer,43.22139,-76.55666,attic
NY48C,LAMSAS,Male,63,White,At least some high school,Farmer,43.22139,-76.55666,kitchen chamber
NY48C,LAMSAS,Male,63,White,At least some high school,Farmer,43.22139,-76.55666,parlor chamber
NY48D,LAMSAS,Female,60,White,Between 1 and 8 years,Keeping house,43.19722,-76.65472,attic
NY49A,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,42.75222,-76.83389,attic
NY49B,LAMSAS,Male,44,White,Unknown,Unknown,42.81417,-76.80945,attic
NY49C,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,42.90472,-76.86305,attic
NY49D,LAMSAS,Female,50,White,Unknown,Clerical or sales position,42.91056,-76.79694,attic
NY50A,LAMSAS,Female,92,White,At least some high school,Operative,43.23778,-77.06167,third floor
NY50A,LAMSAS,Female,92,White,At least some high school,Operative,43.23778,-77.06167,attic
NY50B,LAMSAS,Male,75,White,At least some high school,Professional or technical job,43.23056,-77.04444,attic
NY51A,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,42.80972,-77.53472,attic
NY51B,LAMSAS,Male,87,White,At least some high school,Farmer,42.86889,-76.97806,attic
NY51C,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,42.61528,-77.40278,attic
NY51D,LAMSAS,Female,70,White,At least some high school,Keeping house,42.60695,-77.40833,attic
NY51E!,LAMSAS,Male,89,White,At least some high school,"Manager, official, or proprietor",42.87778,-76.99028,attic
NY52A,LAMSAS,Female,49,White,At least some high school,Keeping house,42.61167,-77.29222,attic
NY52B,LAMSAS,Female,77,White,At least some college or beyond,Keeping house,42.66083,-77.05417,loft
NY52B,LAMSAS,Female,77,White,At least some college or beyond,Keeping house,42.66083,-77.05417,back loft
NY52C,LAMSAS,Female,47,White,At least some high school,"Manager, official, or proprietor",42.63889,-76.98333,attic
NY53A,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.30305,-77.35694,attic
NY53B!,LAMSAS,Female,80,White,At least some college or beyond,"Manager, official, or proprietor",42.33694,-77.31805,attic
NY53B!,LAMSAS,Female,80,White,At least some college or beyond,"Manager, official, or proprietor",42.33694,-77.31805,garrets
NY54A,LAMSAS,Male,74,White,Between 1 and 8 years,Farmer,42.27028,-77.60611,attic
NY54B,LAMSAS,Male,50,White,At least some high school,Public Servant,42.32778,-77.66139,attic
NY55A,LAMSAS,Male,84,White,At least some high school,Farmer,42.39222,-78.25389,attic
NY55A,LAMSAS,Male,84,White,At least some high school,Farmer,42.39222,-78.25389,garret
NY55B,LAMSAS,Female,85,White,At least some high school,Keeping house,42.35917,-78.30917,back chamber
NY55B,LAMSAS,Female,85,White,At least some high school,Keeping house,42.35917,-78.30917,attics
NY56A,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,42.53389,-78.42333,garret
NY56A,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,42.53389,-78.42333,attic
NY56A,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,42.53389,-78.42333,garret
NY56B,LAMSAS,Male,84,White,At least some high school,Professional or technical job,42.52361,-78.41666,attic
NY57A,LAMSAS,Male,73,White,At least some high school,Farmer,42.82139,-77.66889,garret
NY57B,LAMSAS,Female,79,White,At least some college or beyond,Keeping house,42.81667,-77.65694,attic
NY57C!,LAMSAS,Female,83,White,At least some college or beyond,Teacher,42.90472,-77.61166,attic
NY58A,LAMSAS,Male,72,White,At least some high school,Craftsman or foreman,43.1475,-77.55083,attic
NY58B,LAMSAS,Male,81,White,Unknown,Unknown,43.09056,-77.51527,garret
NY58B,LAMSAS,Male,81,White,Unknown,Unknown,43.09056,-77.51527,attic
NY58C,LAMSAS,Male,63,White,At least some college or beyond,"Manager, official, or proprietor",43.15472,-77.61584,attic
NY58C,LAMSAS,Male,63,White,At least some college or beyond,"Manager, official, or proprietor",43.15472,-77.61584,cupola
NY58D!,LAMSAS,Female,60,White,At least some high school,Keeping house,43.05944,-77.47444,attic
NY58E!,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",43.20833,-77.58334,attic
NY58E!,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",43.20833,-77.58334,cupola
NY58F!,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,43.16667,-77.65,attic
NY58F!,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,43.16667,-77.65,garret
NY58F!,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,43.16667,-77.65,attic
NY59A,LAMSAS,Male,71,White,At least some high school,Farmer,43.08528,-77.9425,garret
NY59A,LAMSAS,Male,71,White,At least some high school,Farmer,43.08528,-77.9425,attic
NY59B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,42.90389,-78.13361,attic
NY60A,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,43.32667,-78.38917,attic
NY60B!,LAMSAS,Male,74,White,At least some college or beyond,Public Servant,43.24639,-78.19389,attic
NY61A,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,43.33333,-78.7125,attic
NY61B,LAMSAS,Male,77,White,At least some high school,Craftsman or foreman,43.33778,-78.715,attic
NY62A,LAMSAS,Male,89,White,At least some high school,Farmer,42.97667,-78.59222,attic
NY62B,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.65222,-78.89722,garret
NY62B,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.65222,-78.89722,garret
NY62C,LAMSAS,Male,85,White,Between 1 and 8 years,Professional or technical job,42.88639,-78.87861,attic
NY62D!,LAMSAS,Female,73,White,At least some high school,Keeping house,42.7675,-78.74416,kitchen chamber
NY62D!,LAMSAS,Female,73,White,At least some high school,Keeping house,42.7675,-78.74416,attic
NY62D!,LAMSAS,Female,73,White,At least some high school,Keeping house,42.7675,-78.74416,garret
NY63A,LAMSAS,Male,70,White,At least some high school,Farmer,42.20083,-78.60833,attic
NY63A,LAMSAS,Male,70,White,At least some high school,Farmer,42.20083,-78.60833,not full height
NY63B,LAMSAS,Male,83,White,At least some high school,Professional or technical job,42.16195,-78.97556,attic
NY63C,LAMSAS,Male,47,White,At least some high school,Farmer,42.215,-78.75389,attic
NY63D!,LAMSAS,Male,72,White,At least some college or beyond,Professional or technical job,42.15778,-78.71528,attic
NY63D!,LAMSAS,Male,72,White,At least some college or beyond,Professional or technical job,42.15778,-78.71528,scuttle hole
NY64A,LAMSAS,Male,81,White,At least some high school,Clerical or sales position,42.32222,-79.57833,attic
NY64B,LAMSAS,Female,80,White,At least some college or beyond,Professional or technical job,42.30278,-79.56944,attic
NY64B,LAMSAS,Female,80,White,At least some college or beyond,Professional or technical job,42.30278,-79.56944,garret
NY64C!,LAMSAS,Female,65,White,At least some college or beyond,Clerical or sales position,42.33333,-79.59583,attic
NJ1A,LAMSAS,Male,70,White,No formal schooling,Laborer,39.14139,-74.85333,garret
NJ1A,LAMSAS,Male,70,White,No formal schooling,Laborer,39.14139,-74.85333,up garret
NJ1B,LAMSAS,Male,52,White,At least some high school,Farmer,39.27667,-74.63667,attic
NJ1B,LAMSAS,Male,52,White,At least some high school,Farmer,39.27667,-74.63667,garret
NJ2A,LAMSAS,Male,80,White,At least some high school,Farmer,39.24583,-75.03555,garret
NJ2A,LAMSAS,Male,80,White,At least some high school,Farmer,39.24583,-75.03555,attic
NJ2B,LAMSAS,Male,42,White,At least some high school,Farmer,39.28583,-74.99361,attic
NJ2B,LAMSAS,Male,42,White,At least some high school,Farmer,39.28583,-74.99361,garret
NJ3A,LAMSAS,Male,86,White,At least some high school,Farmer,39.51667,-75.39167,up garret
NJ3B,LAMSAS,Male,55,White,At least some high school,Farmer,39.50528,-75.46222,garret
NJ3B,LAMSAS,Male,55,White,At least some high school,Farmer,39.50528,-75.46222,attic
NJ4A,LAMSAS,Male,70,White,At least some high school,Farmer,39.76639,-75.14472,attic
NJ4A,LAMSAS,Male,70,White,At least some high school,Farmer,39.76639,-75.14472,garret
NJ4B,LAMSAS,Male,53,White,At least some high school,Farmer,39.75,-75.3125,garret
NJ4B,LAMSAS,Male,53,White,At least some high school,Farmer,39.75,-75.3125,attic
NJ5A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,39.71722,-74.96972,garret
NJ5B,LAMSAS,Male,58,White,Between 1 and 8 years,Clerical or sales position,39.71528,-74.90111,attic
NJ6A,LAMSAS,Male,75,White,At least some high school,Farmer,39.52056,-74.48611,attic
NJ6A,LAMSAS,Male,75,White,At least some high school,Farmer,39.52056,-74.48611,garret
NJ6B,LAMSAS,Male,47,White,Between 1 and 8 years,Farmer,39.33417,-74.59472,attic
NJ7A,LAMSAS,Male,72,White,At least some high school,Laborer,39.82611,-74.60472,garret
NJ7B!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,40.01056,-74.86723,attic
NJ7B!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,40.01056,-74.86723,garret
NJ8A,LAMSAS,Male,77,White,No formal schooling,Farmer,39.74639,-74.37083,attic
NJ8B,LAMSAS,Male,57,White,At least some high school,Clerical or sales position,39.75306,-74.22334,garret
NJ9A,LAMSAS,Female,76,White,At least some high school,Keeping house,40.29722,-74.35861,attic
NJ9A,LAMSAS,Female,76,White,At least some high school,Keeping house,40.29722,-74.35861,garret
NJ9B,LAMSAS,Male,56,White,At least some high school,Farmer,40.27945,-74.33472,attic
NJ9B,LAMSAS,Male,56,White,At least some high school,Farmer,40.27945,-74.33472,garret
NJ10A,LAMSAS,Male,78,White,At least some high school,Fisher,40.50667,-74.26583,garret
NJ10B,LAMSAS,Male,68,White,At least some high school,Farmer,40.32389,-74.47139,garret
NJ10C,LAMSAS,Male,49,White,At least some college or beyond,Farmer,40.31611,-74.51417,attic
NJ10D!,LAMSAS,Male,59,White,At least some college or beyond,Clerical or sales position,40.48611,-74.45222,attic
NJ11A,LAMSAS,Male,82,White,At least some high school,Farmer,40.38917,-74.76222,attic
NJ11A,LAMSAS,Male,82,White,At least some high school,Farmer,40.38917,-74.76222,garret
NJ11B,LAMSAS,Female,57,White,At least some high school,Keeping house,40.21695,-74.74333,garret
NJ11B,LAMSAS,Female,57,White,At least some high school,Keeping house,40.21695,-74.74333,attic
