Informant,mantel,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude
NY42A,mantel,LAMSAS,Male,63,White,At least some high school,Farmer,42.42916,-76.49528
NY42A,shelf,LAMSAS,Male,63,White,At least some high school,Farmer,42.42916,-76.49528
NY42B,mantel,LAMSAS,Male,45,White,At least some high school,Farmer,42.66611,-76.10194
NY43A,clock shelf,LAMSAS,Male,80,White,Unknown,Farmer,42.32889,-75.96806
NY43B,mantelpiece,LAMSAS,Male,41,White,At least some high school,Farmer,42.35833,-76.06194
NY43B,clock shelf,LAMSAS,Male,41,White,At least some high school,Farmer,42.35833,-76.06194
NY43C!,mantel,LAMSAS,Female,47,White,At least some high school,Keeping house,42.09861,-75.91833
NY44A,mantel,LAMSAS,Male,78,White,At least some high school,Farmer,42.05806,-76.33611
NY44B,shelf,LAMSAS,Male,38,White,At least some high school,Farmer,42.14139,-76.43945
NY45A,shelf,LAMSAS,Male,72,White,Between 1 and 8 years,Private household worker or gardener,42.10833,-76.83334
NY45B,mantel,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,42.20333,-76.88805
NY45B,shelf,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,42.20333,-76.88805
NY45C,mantel,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,42.13722,-76.93723
NY45D!,shelf,LAMSAS,Female,72,White,At least some college or beyond,Other (see notes),42.08972,-76.80805
NY46A,shelf,LAMSAS,Male,82,White,Between 1 and 8 years,Craftsman or foreman,42.30556,-77.04945
NY46A,clock shelf,LAMSAS,Male,82,White,Between 1 and 8 years,Craftsman or foreman,42.30556,-77.04945
NY46B,shelf,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,42.43028,-76.93305
NY46C,mantel,LAMSAS,Female,73,White,Between 1 and 8 years,Keeping house,42.34861,-76.95667
NY47A,mantel,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111
NY47A,shelf,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111
NY47A,mantel,LAMSAS,Male,57,White,Between 1 and 8 years,Farmer,42.36195,-76.59111
NY47B,mantel,LAMSAS,Male,40,White,At least some college or beyond,Farmer,42.49083,-76.2975
NY48A,mantel,LAMSAS,Male,78,White,Between 1 and 8 years,Public Servant,43.16806,-76.57333
NY48A,shelf,LAMSAS,Male,78,White,Between 1 and 8 years,Public Servant,43.16806,-76.57333
NY48A,clock,LAMSAS,Male,78,White,Between 1 and 8 years,Public Servant,43.16806,-76.57333
NY48B,mantelpiece,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,43.16555,-76.53722
NY48B,clock,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,43.16555,-76.53722
NY48C,mantel,LAMSAS,Male,63,White,At least some high school,Farmer,43.22139,-76.55666
NY48D,mantel,LAMSAS,Female,60,White,Between 1 and 8 years,Keeping house,43.19722,-76.65472
NY49A,shelf,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,42.75222,-76.83389
NY49B,shelf,LAMSAS,Male,44,White,Unknown,Unknown,42.81417,-76.80945
NY49C,mantel,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,42.90472,-76.86305
NY49D,mantel,LAMSAS,Female,50,White,Unknown,Clerical or sales position,42.91056,-76.79694
NY50A,shelf,LAMSAS,Female,92,White,At least some high school,Operative,43.23778,-77.06167
NY50A,shelf,LAMSAS,Female,92,White,At least some high school,Operative,43.23778,-77.06167
NY50B,mantel,LAMSAS,Male,75,White,At least some high school,Professional or technical job,43.23056,-77.04444
NY51A,mantel,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,42.80972,-77.53472
NY51A,mantelpiece,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,42.80972,-77.53472
NY51A,mantelshelf,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,42.80972,-77.53472
NY51A,clock shelf,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,42.80972,-77.53472
NY51B,shelf,LAMSAS,Male,87,White,At least some high school,Farmer,42.86889,-76.97806
NY51C,shelf,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,42.61528,-77.40278
NY51C,clock shelf,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,42.61528,-77.40278
NY51D,clock shelf,LAMSAS,Female,70,White,At least some high school,Keeping house,42.60695,-77.40833
NY51D,mantel,LAMSAS,Female,70,White,At least some high school,Keeping house,42.60695,-77.40833
NY51E!,mantel,LAMSAS,Male,89,White,At least some high school,"Manager, official, or proprietor",42.87778,-76.99028
NY52A,shelf,LAMSAS,Female,49,White,At least some high school,Keeping house,42.61167,-77.29222
NY52A,clock shelf,LAMSAS,Female,49,White,At least some high school,Keeping house,42.61167,-77.29222
NY52B,mantels,LAMSAS,Female,77,White,At least some college or beyond,Keeping house,42.66083,-77.05417
NY52B,shelf,LAMSAS,Female,77,White,At least some college or beyond,Keeping house,42.66083,-77.05417
NY52C,mantel,LAMSAS,Female,47,White,At least some high school,"Manager, official, or proprietor",42.63889,-76.98333
NY53A,clock shelf,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.30305,-77.35694
NY53B!,mantel,LAMSAS,Female,80,White,At least some college or beyond,"Manager, official, or proprietor",42.33694,-77.31805
NY53B!,mantelpiece,LAMSAS,Female,80,White,At least some college or beyond,"Manager, official, or proprietor",42.33694,-77.31805
NY54A,mantel,LAMSAS,Male,74,White,Between 1 and 8 years,Farmer,42.27028,-77.60611
NY54B,mantel,LAMSAS,Male,50,White,At least some high school,Public Servant,42.32778,-77.66139
NY55A,mantel,LAMSAS,Male,84,White,At least some high school,Farmer,42.39222,-78.25389
NY55A,mantelshelf,LAMSAS,Male,84,White,At least some high school,Farmer,42.39222,-78.25389
NY55A,shelf,LAMSAS,Male,84,White,At least some high school,Farmer,42.39222,-78.25389
NY55B,shelf,LAMSAS,Female,85,White,At least some high school,Keeping house,42.35917,-78.30917
NY55B,clock shelf,LAMSAS,Female,85,White,At least some high school,Keeping house,42.35917,-78.30917
NY56A,mantel,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,42.53389,-78.42333
NY56A,shelf,LAMSAS,Male,77,White,Between 1 and 8 years,Public Servant,42.53389,-78.42333
NY56B,shelf,LAMSAS,Male,84,White,At least some high school,Professional or technical job,42.52361,-78.41666
NY57A,shelf,LAMSAS,Male,73,White,At least some high school,Farmer,42.82139,-77.66889
NY57A,bookshelf,LAMSAS,Male,73,White,At least some high school,Farmer,42.82139,-77.66889
NY57A,bookcase,LAMSAS,Male,73,White,At least some high school,Farmer,42.82139,-77.66889
NY57B,mantel,LAMSAS,Female,79,White,At least some college or beyond,Keeping house,42.81667,-77.65694
NY57B,mantelshelf,LAMSAS,Female,79,White,At least some college or beyond,Keeping house,42.81667,-77.65694
NY57C!,mantel,LAMSAS,Female,83,White,At least some college or beyond,Teacher,42.90472,-77.61166
NY57C!,clock shelf,LAMSAS,Female,83,White,At least some college or beyond,Teacher,42.90472,-77.61166
NY58A,mantel,LAMSAS,Male,72,White,At least some high school,Craftsman or foreman,43.1475,-77.55083
NY58A,shelf,LAMSAS,Male,72,White,At least some high school,Craftsman or foreman,43.1475,-77.55083
NY58B,mantel,LAMSAS,Male,81,White,Unknown,Unknown,43.09056,-77.51527
NY58B,shelf,LAMSAS,Male,81,White,Unknown,Unknown,43.09056,-77.51527
NY58C,mantel,LAMSAS,Male,63,White,At least some college or beyond,"Manager, official, or proprietor",43.15472,-77.61584
NY58C,clock shelf,LAMSAS,Male,63,White,At least some college or beyond,"Manager, official, or proprietor",43.15472,-77.61584
NY58D!,mantel,LAMSAS,Female,60,White,At least some high school,Keeping house,43.05944,-77.47444
NY58E!,mantel,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",43.20833,-77.58334
NY58E!,mantelpiece,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",43.20833,-77.58334
NY58E!,mantelpiece,LAMSAS,Female,65,White,At least some college or beyond,"Manager, official, or proprietor",43.20833,-77.58334
NY58F!,mantel,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,43.16667,-77.65
NY58F!,mantelshelf,LAMSAS,Female,62,White,At least some college or beyond,Keeping house,43.16667,-77.65
NY59A,mantel,LAMSAS,Male,71,White,At least some high school,Farmer,43.08528,-77.9425
NY59A,shelf,LAMSAS,Male,71,White,At least some high school,Farmer,43.08528,-77.9425
NY59A,clock shelf,LAMSAS,Male,71,White,At least some high school,Farmer,43.08528,-77.9425
NY59B,mantel,LAMSAS,Male,44,White,At least some college or beyond,Farmer,42.90389,-78.13361
NY60A,mantel,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,43.32667,-78.38917
NY60A,clock shelf,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,43.32667,-78.38917
NY60A,clock shelf,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,43.32667,-78.38917
NY60A,shelf,LAMSAS,Male,87,White,Between 1 and 8 years,Farmer,43.32667,-78.38917
NY60B!,mantel,LAMSAS,Male,74,White,At least some college or beyond,Public Servant,43.24639,-78.19389
NY61A,mantel,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,43.33333,-78.7125
NY61A,shelf,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,43.33333,-78.7125
NY61B,mantel,LAMSAS,Male,77,White,At least some high school,Craftsman or foreman,43.33778,-78.715
NY61B,shelf,LAMSAS,Male,77,White,At least some high school,Craftsman or foreman,43.33778,-78.715
NY62A,mantelshelf,LAMSAS,Male,89,White,At least some high school,Farmer,42.97667,-78.59222
NY62A,mantel,LAMSAS,Male,89,White,At least some high school,Farmer,42.97667,-78.59222
NY62B,mantel,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.65222,-78.89722
NY62B,shelf,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,42.65222,-78.89722
NY62C,mantelshelf,LAMSAS,Male,85,White,Between 1 and 8 years,Professional or technical job,42.88639,-78.87861
NY62C,mantelshelf,LAMSAS,Male,85,White,Between 1 and 8 years,Professional or technical job,42.88639,-78.87861
NY62D!,mantel,LAMSAS,Female,73,White,At least some high school,Keeping house,42.7675,-78.74416
NY63A,clock shelf,LAMSAS,Male,70,White,At least some high school,Farmer,42.20083,-78.60833
NY63B,mantel,LAMSAS,Male,83,White,At least some high school,Professional or technical job,42.16195,-78.97556
NY63B,shelf,LAMSAS,Male,83,White,At least some high school,Professional or technical job,42.16195,-78.97556
NY63C,mantel,LAMSAS,Male,47,White,At least some high school,Farmer,42.215,-78.75389
NY63D!,mantel,LAMSAS,Male,72,White,At least some college or beyond,Professional or technical job,42.15778,-78.71528
NY63D!,lamp shelf,LAMSAS,Male,72,White,At least some college or beyond,Professional or technical job,42.15778,-78.71528
NY64A,mantels,LAMSAS,Male,81,White,At least some high school,Clerical or sales position,42.32222,-79.57833
NY64B,little shelf,LAMSAS,Female,80,White,At least some college or beyond,Professional or technical job,42.30278,-79.56944
NY64B,fireboard,LAMSAS,Female,80,White,At least some college or beyond,Professional or technical job,42.30278,-79.56944
NY64C!,mantel,LAMSAS,Female,65,White,At least some college or beyond,Clerical or sales position,42.33333,-79.59583
NJ1A,mantelpiece,LAMSAS,Male,70,White,No formal schooling,Laborer,39.14139,-74.85333
NJ1B,mantel,LAMSAS,Male,52,White,At least some high school,Farmer,39.27667,-74.63667
NJ2A,mantelpiece,LAMSAS,Male,80,White,At least some high school,Farmer,39.24583,-75.03555
NJ2A,mantelpiece,LAMSAS,Male,80,White,At least some high school,Farmer,39.24583,-75.03555
NJ2B,mantel,LAMSAS,Male,42,White,At least some high school,Farmer,39.28583,-74.99361
NJ3A,mantelpiece,LAMSAS,Male,86,White,At least some high school,Farmer,39.51667,-75.39167
NJ3B,mantel,LAMSAS,Male,55,White,At least some high school,Farmer,39.50528,-75.46222
NJ4A,mantelpiece,LAMSAS,Male,70,White,At least some high school,Farmer,39.76639,-75.14472
NJ4B,mantel,LAMSAS,Male,53,White,At least some high school,Farmer,39.75,-75.3125
NJ5A,mantelpiece,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,39.71722,-74.96972
NJ5B,mantelpiece,LAMSAS,Male,58,White,Between 1 and 8 years,Clerical or sales position,39.71528,-74.90111
NJ6A,mantelpiece,LAMSAS,Male,75,White,At least some high school,Farmer,39.52056,-74.48611
NJ6B,mantelshelf,LAMSAS,Male,47,White,Between 1 and 8 years,Farmer,39.33417,-74.59472
NJ7A,mantelpiece,LAMSAS,Male,72,White,At least some high school,Laborer,39.82611,-74.60472
NJ7B!,mantelpiece,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,40.01056,-74.86723
NJ8A,mantel,LAMSAS,Male,77,White,No formal schooling,Farmer,39.74639,-74.37083
NJ8A,shelf,LAMSAS,Male,77,White,No formal schooling,Farmer,39.74639,-74.37083
NJ8B,mantel,LAMSAS,Male,57,White,At least some high school,Clerical or sales position,39.75306,-74.22334
