Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,frying pan,comments,,,
CT234,LANE,Female,70-80,White,At least some high school,Single woman,41.5503,-72.0875,"spider, frying pan, skillet",sug. skillet = a kettle like legs on it) [IPA],,,
CT254,LANE,Female,78,White,Between 1 and 8 years,Keeping house,41.3742,-73.395,spider,"it's been spider all my life; doesn't use skillet, uses stew pan",,,
CT260,LANE,Male,70,White,Between 1 and 8 years,Farmer,41.3742,-73.395,spider,"we always call it; ""I never had that called frying pan, did you ever?"" *wife no. spider; skillet = little iron pot w. 3 little legs + a lid; *wife saucepan now.",,,
CT261,LANE,Male,57,White,At least some college or beyond,Farmer,41.2242,-73.0597,"frying pan, spider",P + his wife use frying pan (frying pan); mother used (spider),,,
CT262,LANE,Female,20,White,At least some college or beyond,Professional or technical job,41.1864,-73.1956,frying pan,sug. hear spider,,,
CT266,LANE,Male,47,White,At least some college or beyond,Farmer,41.4022¬?N,-73.4711,frying pan,"*wife has heard skillet, never knew what it was; ""I heard spider very very often. It's different heavy iron. Frying pans a thin one""; neither knows what a skillet is",,,
CT282,LANE,Male,73,White,At least some high school,Craftsman or foreman,41.6011,-72.975,spider,sug. skillet. Skillet I used to have one. Little fellows with legs on em. My grandfather used to heat up grease and tallow in em for to grease his boots with,,,
CT283,LANE,Male,68,White,At least some high school,Fisher ,41.2242,-73.0597,spider,"says it never, now hears spider, sug. Skillet round bottomed lids. 3 legs sometimes",,,
CT286,LANE,Male,36,White,Between 1 and 8 years,Clerical or sales position,41.6011,-72.975,"frying pan, spider","old folks all use spider; *Br. Spider is iron. Frying pan is pressed steel. Skillet? ""damn if I know what it is, do you?"" ""you've got me""",,,
CT287,LANE,Male,65,White,No formal schooling,Farmer,41.4833,-73.4833,"fruing pan, skillet, spider","a skillet is a lighter smaller thing + legs and lid; spider is iron, has a little spout to pour out of. ""a skillet would be more like a frying pan""; small one (frying pan)",,,
CT373,LANE,Female,60-65,White,At least some high school,Teacher,41.8667,-71.9833,"spider, frying pan",,,,
CT384,LANE,Male,79,White,Between 1 and 8 years,Farmer,41.8721,-72.3694,"frying pan, spider",wife - commoner (spider),,,
CT385,LANE,Male,54,White,Between 1 and 8 years,Public servant,41.8721,-72.3694,spider,,,,
CT386,LANE,Male,77,White,Between 1 and 8 years,Farmer,41.9167,-72.5578,"frying pan, spider","term, but not thing, familiar (frying pan); commoner (spider)",,,
CT387,LANE,Male,53,White,Between 1 and 8 years,Farmer,41.9167,-72.5578,spider,,,,
CT400,LANE,Male,79,White,At least some high school,Farmer,41.9833,-72.4494,spider,,,,
CT401,LANE,Male,54,White,At least some high school,Farmer,41.9833,-72.4494,spider,,,,
CT405,LANE,Female,83,White,Between 1 and 8 years,Keeping house,41.6528,-72.3914,spider,,,,
CT406,LANE,Female,84,White,Between 1 and 8 years,Keeping house,41.9667,-72.0167,spider,,,,
CT407,LANE,Female,58,White,At least some high school,Teacher,41.7167,-72.1667,"spider, frying pan","not natural, never 'skillet' (frying pan)",,,
CT408,LANE,Female,82,White,Between 1 and 8 years,Private household worker or gardener,41.7167,-72.1667,"spider, skillet","short legs, so cu (spider); rounder, 3 legs, long handle (skillet)",,,
CT417,LANE,Male,73,White,At least some high school,"Manager, official, or proprietor",41.3541,-72.101,"frying pan, skillet","never 'spider' (frying pan); old, set in ashes (skillet)",,,
CT418,LANE,Male,69,White,Between 1 and 8 years,Farmer,41.3531,-72.2294,"skillet, spider, frying pan",not a kettle (frying pan),,,
CT419,LANE,Female,83,White,At least some high school,Clerical or sales position,41.3541,-72.101,spider,fry in pan,,,
CT422,LANE,Male,Unknown,White,Between 1 and 8 years,Farmer,41.6869,-72.5447,spider,"didn't have any skillets, had given up many fireplaces",,,
IL1A,LANCS,Male,72,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",42.4867,-90.2622,frying pan,,,,
IL1B,LANCS,Male,91,White,At least some high school,Unknown,42.4167,-90.429,"a frying pan, c. skillet, spiders",spiders -- s.n.,,,
IL1C,LANCS,Female,61,White,Between 1 and 8 yrs.,Keeping house,42.2002,-90.1629,"iron skillet, spider, frying pan",,,,
IL2,LANCS,Male,87,White,Between 1 and 8 yrs.,Unknown,42.2967,-89.6212,"skillet, frying pan",,,,
IL3A,LANCS,Female,82,White,At least some high school,Unknown,42.3139,-89.3593,"griddles, pancake, spider, iron spiders",,,,
IL3B,LANCS,Female,94,White,At least some high school,Keeping house,42.2389,-89.3579,"spider, skillet, frying pan",skillet [pron. stillet] -- old,,,
IL3C,LANCS,Male,65,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",42.3139,-89.3593,"frying pan, skillet",,,,
IL3D,LANCS,Male,67,White,At least some college or beyond,Farmer,42.2711,-89.094,"frying pan, skillet, spider",,,,
IL4,LANCS,Male,86,White,Between 1 and 8 yrs.,Craftsman or foreman,42.2639,-88.8443,"skillet, spider",(calls it spider mostly),,,
IL5,LANCS,Female,74,White,Between 1 and 8 yrs.,Keeping house,42.3147,-88.4487,"skillet, spider, fry pan",spider (older); fry pan (elective),,,
IL6A,LANCS,Male,70+,White,Unknown,Unknown,42.095,-89.9782,skillet,*skillet,,,
IL6B,LANCS,Male,45,White,Between 1 and 8 yrs.,Farmer,41.917,-89.9107,"Dutch oven, skillet, frying pan",,,,
IL6C,LANCS,Female,74,White,At least some high school,Clerical and sales,41.4759,-89.5533,"frying pan, skillet, spider",spider -- s.o.,,,
IL7,LANCS,Male,71,White,At least some high school,Farmer,42.0148,-89.3323,"frying pan, spider, skillet",skillet = cast iron,,,
IL8A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,41.7142,-89.3287,"skillet, frying pan",,,,
IL8B,LANCS,Male,91,White,At least some high school,Farmer,41.7142,-89.3287,spiders,,,,
IL8C,LANCS,Female,86,White,At least some high school,Keeping house,41.7142,-89.3287,frying pans,,,,
IL8D,LANCS,Female,80,White,At least some college or beyond,Teacher,41.7142,-89.3287,spiders,,,,
IL9,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,41.6459,-88.6217,"frying pan, spider; skillet","older term = skillet; spider -- ""used spider as a child -- it still slips out every once in a while.""",,,
IL10A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,41.8922,-88.4723,"skillet, spider","skillet = ""spider."" spider -- ""Spider"" is more common. Cast iron.",,,
IL10B,LANCS,Female,74,White,At least some high school,Keeping house,42.0354,-88.2826,"skillet, fry pan",,,,
IL10C,LANCS,Female,62,White,At least some college or beyond,Keeping house,41.8493,-88.421,"a frying pan, skillet, a spider",a spider -- s.n.o.,,,
IL11A,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,41.8755,-88.0667,frying pan,,,,
IL11B,LANCS,Male,81,White,At least some college or beyond,Professional & technical,41.8661,-88.107,"skillet, spider",skillet (usually),,,
IL11C,LANCS,Male,85,White,At least some college or beyond,Professional & technical,41.8009,-87.937,"frying pans, fry pan, griddle",fry pan -- old; now family word,,,
IL12A,LANCS,Male,80,White,Between 1 and 8 yrs.,Public servant,42.0111,-87.8406,iron spiders,,,,
IL12B,LANCS,Male,87,White,Between 1 and 8 yrs.,Clerical and sales,42.0664,-87.9373,NR,,,,
IL12C,LANCS,Female,66,White,Between 1 and 8 yrs.,Keeping house,42.0111,-87.8406,"fry pan, frying pan, skillet",,,,
IL12D,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,41.9476,-87.7665,"spider, frying pan","(""when I was a kid, we always called them spiders"")",,,
IL12E,LANCS,Male,60,White,At least some high school,Other,41.8055,-87.6088,"frying pan, skillet",,,,
IL12F,LANCS,Female,60,White,At least some high school,Keeping house,41.8055,-87.6088,"frying pan, spider",spider -- h. sug. friends in neighborhood,,,
IL12G,LANCS,Female,74,White,At least some high school,Unknown,41.8781,-87.6298,"pan, skillet",,,,
IL12HN,LANCS,Male,37,Black or African American,At least some high school,Clerical and sales,41.8781,-87.6298,skillet,,,,
IL12I,LANCS,Male,50,White,At least some high school,Public servant,42.0126,-87.6746,"skillet, frying pan, electric fryer",,,,
IL12JN,LANCS,Male,85,Black or African American,At least some high school,Other,41.7014,-87.6563,"frying pan, skillet, electric skillet",,,,
IL12K,LANCS,Male,27,White,At least some college or beyond,Public servant,41.9476,-87.7665,NR,,,,
IL12LN,LANCS,Male,34,Black or African American,At least some college or beyond,"Manager, official, or proprietor",41.7014,-87.6563,"frying pan, skillet",,,,
IL12M,LANCS,Male,73,White,At least some college or beyond,Professional & technical,41.9476,-87.7665,"frying pan, spider, skillet",spider -- s.n.o.; skillet -- s.n.,,,
IL12N,LANCS,Male,27,White,At least some college or beyond,Student,41.5128,-87.3726,"frying pan, skillet",skillet -- h. - commonp.; but doesn't use,,,
IL12O,LANCS,Female,20,White,At least some college or beyond,Service worker,41.8781,-87.6298,"skillet, frying pan",,,,
IL12P,LANCS,Female,33,White,At least some college or beyond,Student,41.8781,-87.6298,"frying pan, electric fryer, skillet",skillet -- cast iron.,,,
IL12Q,LANCS,Male,51,White,At least some college or beyond,Professional & technical,41.8781,-87.6298,"frying pan, skillet",skillet -- old,,,
IL12R,LANCS,Female,69,White,At least some college or beyond,Keeping house,42.0859,-87.7176,"frying pan, electric frying pan",,,,
IL13A,LANCS,Male,76,White,At least some high school,Farmer,41.5095,-90.5787,skillet,flat bottom,,,
IL13B,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,41.5067,-90.5151,"skillet, frying pan",,,,
IL13C,LANCS,Male,72,White,At least some high school,"Manager, official, or proprietor",41.5067,-90.5151,frying pan,,,,
IL13D,LANCS,Female,35,White,At least some college or beyond,Professional & technical,41.5123,-90.4151,"frying pan, skillet",same thing,,,
IL13E,LANCS,Female,67,White,At least some college or beyond,Teacher,41.5067,-90.5151,"skillet, frying pan",,,,
IL14,LANCS,Male,75,White,Between 1 and 8 yrs.,Unknown,41.2998,-90.5069,"skillet, fry pan, spider",spider = his mother's term,,,
IL15A,LANCS,Female,75,White,Between 1 and 8 yrs.,Keeping house,41.4481,-90.1543,"skillet, spider","[M had a round bottomed one]; skillet -- heavy or light metal; flat; spider -- ""same here"" = 'frying pan'",,,
IL15B,LANCS,Male,75,White,At least some high school,Farmer,41.1812,-90.1136,skillets,,,,
IL16A,LANCS,Male,78,White,Between 1 and 8 yrs.,Operative,41.3456,-88.8426,skillet,,,,
IL16B,LANCS,Female,56,White,At least some high school,Keeping house,41.237,-88.8315,skillets,,,,
IL16C,LANCS,Female,71,White,At least some college or beyond,Clerical and sales,41.237,-88.8315,"spider, skillet, fryer",fryer's new,,,
IL17,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,41.6411,-88.4473,"skillet, spider",,,,
IL18,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,41.1696,-88.421,"skillet, fry pan",fry pan (older),,,
IL19A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,41.3323,-87.7853,"frying pan, skillet, spider",skillet (older); spider (folks used it -- used it themselves till married),,,
IL19B,LANCS,Female,72,White,At least some high school,Keeping house,41.3323,-87.7853,"skillet, spider",spider (mother used it),,,
IL20A,LANCS,Male,86,White,Between 1 and 8 yrs.,Service worker,40.562,-90.5657,"c. a skillet, spiders",c. a skillet -- sometimes with legs; spiders = a skillet form,,,
IL20B,LANCS,Male,49,White,At least some high school,Farmer,37.4421,-89.2618,skillets,,,,
IL21,LANCS,Male,65,White,At least some high school,Farmer,40.8659,-90.7485,skillet,,,,
IL22,LANCS,Male,75,White,At least some high school,Farmer,41.0253,-90.2798,frying pan,,,,
IL23A,LANCS,Male,83,White,At least some high school,Farmer,41.0936,-89.8648,skillet,,,,
IL23B,LANCS,Male,ca. 70,White,Unknown,Farmer,41.1799,-89.6816,skillet,,,,
IL24A,LANCS,Female,78,White,Between 1 and 8 yrs.,Farmer,40.6917,-89.7951,skillet,,,,
IL24B,LANCS,Female,76,White,At least some high school,Keeping house,40.6936,-89.589,skillet,,,,
IL25A,LANCS,Male,77,White,At least some high school,Farmer,40.9823,-89.2354,skillet,,,,
IL25B,LANCS,Female,83,White,Unknown,Keeping house,41.1531,-89.1307,"skillet, frying pan, electric skillet",[electric pron. lectric],,,
IL26,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,40.7214,-89.2729,skillet,,,,
IL27A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,40.8809,-88.6298,"frying pan, skillet",,,,
IL27B,LANCS,Female,ca. 65,White,At least some high school,Keeping house,40.8809,-88.6298,"pan, skillet, frying pan",*skillet,,,
IL28A,LANCS,Male,63,White,Between 1 and 8 yrs.,Farmer,41.12,-87.8612,frying pan,(flat bottom heavy cast iron),,,
IL28B,LANCS,Male,71,White,At least some college or beyond,Teacher,41.023,-87.7182,skillet,,,,
IL29A,LANCS,Male,76,White,At least some high school,Farmer,40.7761,-87.7364,skillet,,,,
IL29B,LANCS,Male,52,White,At least some high school,Clerical and sales,40.7667,-87.9923,skillet,flat bottom,,,
IL30A,LANCS,Male,84,White,At least some high school,Farmer,40.55,-91.3849,"skillet, Dutch oven","Dutch oven -- 3 legs, long handle",,,
IL30B,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,40.55,-91.3849,"skillets, spiders",,,,
IL31A,LANCS,Female,73,White,At least some high school,Keeping house,40.5528,-90.5062,skillets,iron,,,
IL31B,LANCS,Male,44,White,At least some college or beyond,Service worker,40.412,-90.8393,skillets,,,,
IL32,LANCS,Male,69,White,At least some high school,Farmer,40.5581,-90.0351,skillet,,,,
IL33A,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,40.3725,-89.5473,"frying bucket, s. skillet",frying bucket -- iron & heavy; might be of sheet iron. Flat bot.; skillet -- lighter,,,
IL33B,LANCS,Male,66,White,At least some high school,Farmer,40.2604,-89.3927,skillet,,,,
IL34,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,40.6414,-88.7834,skillet,,,,
IL35,LANCS,Male,71,White,At least some college or beyond,Farmer,40.2752,-88.2416,skillet,,,,
IL36A,LANCS,Female,51,White,At least some college or beyond,Keeping house,40.1164,-88.2434,a skillet,,,,
IL36B,LANCS,Female,25,White,At least some college or beyond,Clerical and sales,40.1164,-88.2434,skillets,coffee pot,,,
IL37A,LANCS,Male,91,White,Between 1 and 8 yrs.,Farmer,39.9873,-90.7635,skillets,,,,
IL37B,LANCS,Male,43,White,At least some high school,Farmer,39.9873,-90.7635,"skillets, stew pans",,,,
IL38A,LANCS,Male,86,White,Between 1 and 8 yrs.,Farmer,40.0175,-90.4243,"skillets, frying pans",,,,
IL38B,LANCS,Female,65,White,At least some college or beyond,Teacher,40.0175,-90.4243,skillets,,,,
IL39A,LANCS,Female,81,White,Between 1 and 8 yrs.,Keeping house,39.5917,-89.7465,"skillet, frying pan",skillet -- iron steel; frying pan -- same. Older term,,,
IL39B,LANCS,Male,70,White,Between 1 and 8 yrs.,Operative,38.7817,-89.6501,"frying pan, electric skillet, skillet",electric skillet [pron. lectric skillet] -- now; skillet -- a little heavier than a fry pan,,,
IL39C,LANCS,Female,60,White,At least some college or beyond,Teacher,38.7817,-89.6501,skillet,,,,
IL40,LANCS,Male,97,White,Between 1 and 8 yrs.,Farmer,39.64,-89.1929,skillet,,,,
IL41A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,39.3554,-88.3636,skillet,outdoor cookers = grate called a spider,,,
IL41B,LANCS,Female,71,White,At least some college or beyond,Keeping house,39.3358,-88.3203,"frying pan, skillet",,,,
IL42A,LANCS,Male,80,White, At least some high school,Farmer,39.6111,-87.6961,"skillet, cv. frying pan, oven","skillet -- iron or steel; flat butt; cv. frying pan -- same kind of thing, but aluminum too; oven -- 3"" deep; legs; top-of-stove baking",,,
IL42B,LANCS,Male,60,White,At least some high school,Farmer,39.6111,-87.6961,skillet,flat-bottomed; iron.,,,
IL43A,LANCS,Male,67,White,Between 1 and 8 yrs.,Farmer,39.2978,-90.609,iron skillets,,,,
IL43B,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer,39.1567,-90.6179,"skillet, frying pan","skillet -- cast iron, flat butt; frying pan -- tin",,,
IL43C,LANCS,Male,72,White,At least some high school,Farmer,39.1567,-90.6179,skillets,iron,,,
IL44A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer,38.8114,-89.9532,skillet,iron,,,
IL44B,LANCS,Male,75,White,At least some college or beyond,Unknown,38.8906,-90.1843,skillet,,,,
IL45A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,39.1516,-89.214,skillet,,,,
IL45B,LANCS,Female,78,White,At least some high school,"Manager, official, or proprietor",39.3012,-89.2851,"skillet, iron skillet",,,,
IL46A,LANCS,Male,77,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.9116,-89.0332,skillet,cast iron,,,
IL46B,LANCS,Male,63,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.9606,-89.0937,skillet,,,,
IL46C,LANCS,Male,70,White,Unknown,Craftsman or foreman,38.9606,-89.0937,"skillets, pans",,,,
IL46D,LANCS,Male,88,White,At least some high school,Operative,38.9606,-89.0937,skillets,,,,
IL47A,LANCS,Male,89,White,At least some high school,Clerical and sales,38.9909,-88.1625,"skillets, c. Dutch ovens",,,,
IL47B,LANCS,Female,69,White,At least some high school,Keeping house,38.9909,-88.1625,skillets,,,,
IL48A,LANCS,Male,75,White,At least some high school,"Manager, official, or proprietor",38.627,-88.9456,"skillets, spider",iron,,,
IL48B,LANCS,Female,67,White,At least some college or beyond,Unknown,38.7217,-88.9092,"skillet, frying pan",skillet -- cast,,,
IL49A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,38.3453,-88.5878,"ovens, skillet",,,,
IL49B,LANCS,Male,66,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.0934,-88.5356,"pans, skillet",often had lid & 3 legs,,,
IL50A,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,38.3775,-88.0561,"skillet, frying pan",skillet -- iron or aluminum & heavy; frying pan -- of light iron. She has both.,,,
IL50B,LANCS,Male,81,White,At least some high school,"Manager, official, or proprietor",38.3775,-88.0561,"skillets, pans",pans -- sheet iron,,,
IL50C,LANCS,Female,59,White,At least some college or beyond,Teacher,38.3775,-88.0561,skillet,,,,
IL51A,LANCS,Male,83,White,Between 1 and 8 yrs.,Operative,38.3359,-90.1498,"frying pans, skillet",skillet -- 2-3 times heavier,,,
IL51B,LANCS,Female,75,White,At least some high school,Teacher,38.3359,-90.1498,"gridiron, frying pan, skillet",gridiron -- beefsteak; skillet -- !! Old.,,,
IL52A,LANCS,Female,78,White,Between 1 and 8 yrs.,Keeping house,38.2117,-89.9943,skillet,,,,
IL52B,LANCS,Female,67,White,At least some high school,Keeping house,38.2117,-89.9943,"frying pan, skillet",,,,
IL53A,LANCS,Male,86,White,At least some college or beyond,Farmer,37.7321,-89.4532,"skillet, frying pan","skillet -- cast iron, flat bott., heavy; frying pan -- lighter weight; of sheet metal",,,
IL53B,LANCS,Male,44,White,At least some high school,Farmer,37.7645,-89.3351,skillet,,,,
IL54,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,37.8031,-89.0276,skillets,,,,
IL55A,LANCS,Female,68,White,At least some high school,Unknown,37.4253,-88.11,"frying pan, skillet",,,,
IL55B,LANCS,Female,88,White,Unknown,Keeping house,37.4253,-88.11,"skillets, griddle",skillets -- iron,,,
IL55C,LANCS,Female,51,White,Between 1 and 8 yrs.,Keeping house,37.4253,-88.11,c. skillet,,,,
IL56A,LANCS,Male,81,White,Between 1 and 8 yrs.,Farmer,37.2209,-89.4609,skillets,,,,
IL56B,LANCS,Male,52,White,At least some high school,Farmer,37.1587,-89.1948,skillets,,,,
IL57,LANCS,Male,75,White,Between 1 and 8 yrs.,Other,37.1512,-88.732,NR,,,,
IL58A,LANCS,Male,79,White,Between 1 and 8 yrs.,Farmer,37.215,-88.2912,"frying pan, skillet, oven","frying pan -- of tin; skilet -- iron; oven -- 3""-4"" deep, 3"" legs. Used for baking",,,
IL58B,LANCS,Female,71,White,At least some college or beyond,Keeping house,37.215,-88.2912,"skillets, frying pans",skillets -- heavy,,,
IL58C,LANCS,Male,33,White,At least some college or beyond,Teacher,37.215,-88.2912,skillet,,,,
IN1A,LANCS,Male,66,White,Between 1 and 8 yrs.,Operative,41.3823,-87.0024,"pan, frying pan",,,,
IN1B,LANCS,Female,60,White,At least some high school,Keeping house,41.3823,-87.0024,"skillets, griddles",,,,
IN2A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,41.4412,-86.2768,"skillet, oven","no legs (skillet); logs, fireplace (oven)",,,
IN2B,LANCS,Male,56; 60,White,Unknown,Farmer,41.303,-86.3377,skillet,,,,
IN3A,LANCS,Male,73,White,At least some high school,Clerical and sales,41.682,-85.9767,skillet,flat bottom cast iron,,,
IN3B,LANCS,Male,52,White,Between 1 and 8 yrs.,Farmer,41.581,-85.7051,"fryig pan, skillet",1 syll? (frying pan),,,
IN4A,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,40.268,-87.3314,"skillet, spider",didn't have one (legs) (spider),,,
IN4B,LANCS,Male,58,White,At least some college or beyond,Professional & technical,40.268,-87.3314,skillet,,,,
