Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,picket fence
CT386,LANE,Male,77,White,Between 1 and 8 years,Farmer,41.9167,-72.5578,picket fence
CT387,LANE,Male,53,White,Between 1 and 8 years,Farmer,41.9167,-72.5578,picket fence
CT400,LANE,Male,79,White,At least some high school,Farmer,41.9833,-72.4494,picket fence
CT401,LANE,Male,54,White,At least some high school,Farmer,41.9833,-72.4494,picket fence
CT405,LANE,Female,83,White,Between 1 and 8 years,Keeping house,41.6528,-72.3914,picket fence
CT406,LANE,Female,84,White,Between 1 and 8 years,Keeping house,41.9667,-72.0167,picket fence
CT407,LANE,Female,58,White,At least some high school,Teacher,41.7167,-72.1667,picket fence
CT408,LANE,Female,82,White,Between 1 and 8 years,Private household worker or gardener,41.7167,-72.1667,picket fence
CT417,LANE,Male,73,White,At least some high school,"Manager, official, or proprietor",41.3541,-72.101,picket fence
CT418,LANE,Male,69,White,Between 1 and 8 years,Farmer,41.3531,-72.2294,"picket fence, of wooden slats"
CT419,LANE,Female,83,White,At least some high school,Clerical or sales position,41.3541,-72.101,picket
CT422,LANE,Male,Unknown,White,Between 1 and 8 years,Farmer,41.6869,-72.5447,picket fence
IL1A,LANCS,Male,72,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",42.4867,-90.2622,"picket fences, board fences"
IL1B,LANCS,Male,91,White,At least some high school,Unknown,42.4167,-90.429,picket fence
IL1C,LANCS,Female,61,White,Between 1 and 8 yrs.,Keeping house,42.2002,-90.1629,picket fences
IL2,LANCS,Male,87,White,Between 1 and 8 yrs.,Unknown,42.2967,-89.6212,"picket fence, lawn fence"
IL3A,LANCS,Female,82,White,At least some high school,Unknown,42.3139,-89.3593,picket fence
IL3B,LANCS,Female,94,White,At least some high school,Keeping house,42.2389,-89.3579,"a fence, yard fence, picket fence"
IL3C,LANCS,Male,65,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",42.3139,-89.3593,picket fences
IL3D,LANCS,Male,67,White,At least some college or beyond,Farmer,42.2711,-89.094,picekt fence
IL4,LANCS,Male,86,White,Between 1 and 8 yrs.,Craftsman or foreman,42.2639,-88.8443,picket fence
IL5,LANCS,Female,74,White,Between 1 and 8 yrs.,Keeping house,42.3147,-88.4487,picket fence
IL6A,LANCS,Male,70,White,Unknown,Unknown,42.095,-89.9782,"board fence, lawn fence, picket fence"
IL6B,LANCS,Male,45,White,Between 1 and 8 yrs.,Farmer,41.917,-89.9107,"yard fence, picket fences"
IL6C,LANCS,Female,74,White,At least some high school,Clerical and sales,41.4759,-89.5533,picket fence
IL7,LANCS,Male,71,White,At least some high school,Farmer,42.0148,-89.3323,picket fence
IL8A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,41.7142,-89.3287,picket fence
IL8B,LANCS,Male,91,White,At least some high school,Farmer,41.7142,-89.3287,a picket fence
IL8C,LANCS,Female,86,White,At least some high school,Keeping house,41.7142,-89.3287,"road fence, picket fence"
IL8D,LANCS,Female,80,White,At least some college or beyond,Teacher,41.7142,-89.3287,"board fence, picket fence"
IL9,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,41.6459,-88.6217,picket fence
IL10A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,41.8922,-88.4723,picket fence
IL10B,LANCS,Female,74,White,At least some high school,Keeping house,42.0354,-88.2826,picket fence
IL10C,LANCS,Female,62,White,At least some college or beyond,Keeping house,41.8493,-88.421,picket fence
IL11A,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,41.8755,-88.0667,picket fence
IL11B,LANCS,Male,81,White,At least some college or beyond,Professional & technical,41.8661,-88.107,picket fences
IL11C,LANCS,Male,85,White,At least some college or beyond,Professional & technical,41.8009,-87.937,picket fence
IL12A,LANCS,Male,80,White,Between 1 and 8 yrs.,Public servant,42.0111,-87.8406,picket fences
IL12B,LANCS,Male,87,White,Between 1 and 8 yrs.,Clerical and sales,42.0664,-87.9373,picket fence
IL12C,LANCS,Female,66,White,Between 1 and 8 yrs.,Keeping house,42.0111,-87.8406,missing
IL12D,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,41.9476,-87.7665,picket fence
IL12E,LANCS,Male,60,White,At least some high school,Other,41.8055,-87.6088,pickets
IL12F,LANCS,Female,60,White,At least some high school,Keeping house,41.8055,-87.6088,picket fence
IL12G,LANCS,Female,74,White,At least some high school,Unknown,41.8781,-87.6298,"picket fence, link fence, garden"
IL12HN,LANCS,Male,37,Black or African American,At least some high school,Clerical and sales,41.8781,-87.6298,picket fence
IL12I,LANCS,Male,50,White,At least some high school,Public servant,42.0126,-87.6746,picket fence
IL12JN,LANCS,Male,85,Black or African American,At least some high school,Other,41.7014,-87.6563,picket 
IL12K,LANCS,Male,27,White,At least some college or beyond,Public servant,41.9476,-87.7665,picket fence
IL12LN,LANCS,Male,34,Black or African American,At least some college or beyond,"Manager, official, or proprietor",41.7014,-87.6563,picket fence
IL12M,LANCS,Male,73,White,At least some college or beyond,Professional & technical,41.9476,-87.7665,"fence, picket fence"
IL12N,LANCS,Male,27,White,At least some college or beyond,Student,41.5128,-87.3726,picket fences
IL12O,LANCS,Female,20,White,At least some college or beyond,Service worker,41.8781,-87.6298,picket fences
IL12P,LANCS,Female,33,White,At least some college or beyond,Student,41.8781,-87.6298,picket fence
IL12Q,LANCS,Male,51,White,At least some college or beyond,Professional & technical,41.8781,-87.6298,"picket fence, board fence"
IL12R,LANCS,Female,69,White,At least some college or beyond,Keeping house,42.0859,-87.7176,picket
IL13A,LANCS,Male,76,White,At least some high school,Farmer,41.5095,-90.5787,rail fence
IL13B,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,41.5067,-90.5151,picket fence
IL13C,LANCS,Male,72,White,At least some high school,"Manager, official, or proprietor",41.5067,-90.5151,picket fence
IL13D,LANCS,Female,35,White,At least some college or beyond,Professional & technical,41.5123,-90.4151,NR
IL13E,LANCS,Female,67,White,At least some college or beyond,Teacher,41.5067,-90.5151,picket fence
IL14,LANCS,Male,75,White,Between 1 and 8 yrs.,Unknown,41.2998,-90.5069,picket fence
IL15A,LANCS,Female,75,White,Between 1 and 8 yrs.,Keeping house,41.4481,-90.1543,pailing fence
IL15B,LANCS,Male,75,White,At least some high school,Farmer,41.1812,-90.1136,picket fence
IL16A,LANCS,Male,78,White,Between 1 and 8 yrs.,Operative,41.3456,-88.8426,picket fence
IL16B,LANCS,Female,56,White,At least some high school,Keeping house,41.237,-88.8315,picket fence
IL16C,LANCS,Female,71,White,At least some college or beyond,Clerical and sales,41.237,-88.8315,"picket fence, iron fence"
IL17,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,41.6411,-88.4473,picket
IL18,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,41.1696,-88.421,picket fence
IL19A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,41.3323,-87.7853,"picket fence, board fence"
IL19B,LANCS,Female,72,White,At least some high school,Keeping house,41.3323,-87.7853,"picket fence, paling fence"
IL20A,LANCS,Male,86,White,Between 1 and 8 yrs.,Service worker,40.562,-90.5657,picket fence
IL20B,LANCS,Male,49,White,At least some high school,Farmer,37.4421,-89.2618,picket fence
IL21,LANCS,Male,65,White,At least some high school,Farmer,40.8659,-90.7485,"picket fence, woven wire"
IL22,LANCS,Male,75,White,At least some high school,Farmer,41.0253,-90.2798,picket fence
IL23A,LANCS,Male,83,White,At least some high school,Farmer,41.0936,-89.8648,picket fence
IL23B,LANCS,Male,ca. 70,White,Unknown,Farmer,41.1799,-89.6816,"three board fence, picket fence"
IL24A,LANCS,Female,78,White,Between 1 and 8 yrs.,Farmer,40.6917,-89.7951,"picket fence, woven wire"
IL24B,LANCS,Female,76,White,At least some high school,Keeping house,40.6936,-89.589,picket fence
IL25A,LANCS,Male,77,White,At least some high school,Farmer,40.9823,-89.2354,NR
IL25B,LANCS,Female,83,White,Unknown,Keeping house,41.1531,-89.1307,"picket fence, white board fence"
IL26,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,40.7214,-89.2729,picket fence
IL27A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,40.8809,-88.6298,picket fence
IL27B,LANCS,Female,ca. 65,White,At least some high school,Keeping house,40.8809,-88.6298,picket fence
IL28A,LANCS,Male,63,White,Between 1 and 8 yrs.,Farmer,41.12,-87.8612,picket
IL28B,LANCS,Male,71,White,At least some college or beyond,Teacher,41.023,-87.7182,hedge fence
IL29A,LANCS,Male,76,White,At least some high school,Farmer,40.7761,-87.7364,picket fence
IL29B,LANCS,Male,52,White,At least some high school,Clerical and sales,40.7667,-87.9923,picket fence
IL30A,LANCS,Male,84,White,At least some high school,Farmer,40.55,-91.3849,picket fence
IL30B,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,40.55,-91.3849,"picket fence, a yard fence"
IL31A,LANCS,Female,73,White,At least some high school,Keeping house,40.5528,-90.5062,picket fence
IL31B,LANCS,Male,44,White,At least some college or beyond,Service worker,40.412,-90.8393,"picket fence, a fence"
IL32,LANCS,Male,69,White,At least some high school,Farmer,40.5581,-90.0351,picket fence
IL33A,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,40.3725,-89.5473,picket fence
IL33B,LANCS,Male,66,White,At least some high school,Farmer,40.2604,-89.3927,"split pailing fences, picket fence"
IL34,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,40.6414,-88.7834,picket
IL35,LANCS,Male,71,White,At least some college or beyond,Farmer,40.2752,-88.2416,picket
IL36A,LANCS,Female,51,White,At least some college or beyond,Keeping house,40.1164,-88.2434,"fence, picket fence"
IL36B,LANCS,Female,25,White,At least some college or beyond,Clerical and sales,40.1164,-88.2434,picket fence
IL37A,LANCS,Male,91,White,Between 1 and 8 yrs.,Farmer,39.9873,-90.7635,"a pailing fence, a picket fence"
IL37B,LANCS,Male,43,White,At least some high school,Farmer,39.9873,-90.7635,"yard fences, picket fences"
IL38A,LANCS,Male,86,White,Between 1 and 8 yrs.,Farmer,40.0175,-90.4243,"picket fence, yard fence, a woven picket fence"
IL38B,LANCS,Female,65,White,At least some college or beyond,Teacher,40.0175,-90.4243,"picket fences, board fence, hay board"
IL39A,LANCS,Female,81,White,Between 1 and 8 yrs.,Keeping house,39.5917,-89.7465,"pailing fence, picket fence"
IL39B,LANCS,Male,70,White,Between 1 and 8 yrs.,Operative,38.7817,-89.6501,picket fence
IL39C,LANCS,Female,60,White,At least some college or beyond,Teacher,38.7817,-89.6501,wire fences
IL40,LANCS,Male,97,White,Between 1 and 8 yrs.,Farmer,39.64,-89.1929,"lectric, one wire, rail fences, picket fence"
IL41A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,39.3554,-88.3636,NR
IL41B,LANCS,Female,71,White,At least some college or beyond,Keeping house,39.3358,-88.3203,"pailing, picket"
IL42A,LANCS,Male,80,White, At least some high school,Farmer,39.6111,-87.6961,picket fence
IL42B,LANCS,Male,60,White,At least some high school,Farmer,39.6111,-87.6961,picket fence
IL43A,LANCS,Male,67,White,Between 1 and 8 yrs.,Farmer,39.2978,-90.609,"pickets, picket fence, panel fence"
IL43B,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer,39.1567,-90.6179,picket fence
IL43C,LANCS,Male,72,White,At least some high school,Farmer,39.1567,-90.6179,pailing fence
IL44A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer,38.8114,-89.9532,"a picket fence, yard fence"
IL44B,LANCS,Male,75,White,At least some college or beyond,Unknown,38.8906,-90.1843,"picket fence, pickets"
IL45A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,39.1516,-89.214,picket
IL45B,LANCS,Female,78,White,At least some high school,"Manager, official, or proprietor",39.3012,-89.2851,picket fence
IL46A,LANCS,Male,77,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.9116,-89.0332,"garden fence, pickets"
IL46B,LANCS,Male,63,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.9606,-89.0937,wooden pailing fence
IL46C,LANCS,Male,70,White,Unknown,Craftsman or foreman,38.9606,-89.0937,picket fence
IL46D,LANCS,Male,88,White,At least some high school,Operative,38.9606,-89.0937,"picket fence, clap boards"
IL47A,LANCS,Male,89,White,At least some high school,Clerical and sales,38.9909,-88.1625,"plank fence, picket fence"
IL47B,LANCS,Female,69,White,At least some high school,Keeping house,38.9909,-88.1625,picket fence
IL48A,LANCS,Male,75,White,At least some high school,"Manager, official, or proprietor",38.627,-88.9456,pailing
IL48B,LANCS,Female,67,White,At least some college or beyond,Unknown,38.7217,-88.9092,"fences, pailing fence"
IL49A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,38.3453,-88.5878,picket fence
IL49B,LANCS,Male,66,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",38.0934,-88.5356,picket fence
IL50A,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,38.3775,-88.0561,picket fence
IL50B,LANCS,Male,81,White,At least some high school,"Manager, official, or proprietor",38.3775,-88.0561,picket fence
IL50C,LANCS,Female,59,White,At least some college or beyond,Teacher,38.3775,-88.0561,picket
IL51A,LANCS,Male,83,White,Between 1 and 8 yrs.,Operative,38.3359,-90.1498,"picket, picket fence"
IL51B,LANCS,Female,75,White,At least some high school,Teacher,38.3359,-90.1498,"picket fence, fence"
IL52A,LANCS,Female,78,White,Between 1 and 8 yrs.,Keeping house,38.2117,-89.9943,picket
IL52B,LANCS,Female,67,White,At least some high school,Keeping house,38.2117,-89.9943,picket fence
IL53A,LANCS,Male,86,White,At least some college or beyond,Farmer,37.7321,-89.4532,"pailing fence, picket fence"
IL53B,LANCS,Male,44,White,At least some high school,Farmer,37.7645,-89.3351,"pailings, pailing fence"
IL54,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,37.8031,-89.0276,picket fence
IL55A,LANCS,Female,68,White,At least some high school,Unknown,37.4253,-88.11,"pailing fence, picket fence"
IL55B,LANCS,Female,88,White,Unknown,Keeping house,37.4253,-88.11,"pailing fences, pickets, picket fence"
IL55C,LANCS,Female,51,White,Between 1 and 8 yrs.,Keeping house,37.4253,-88.11,picket fence
IL56A,LANCS,Male,81,White,Between 1 and 8 yrs.,Farmer,37.2209,-89.4609,picket fence
IL56B,LANCS,Male,52,White,At least some high school,Farmer,37.1587,-89.1948,picket fence
IL57,LANCS,Male,75,White,Between 1 and 8 yrs.,Other,37.1512,-88.732,NR
IL58A,LANCS,Male,79,White,Between 1 and 8 yrs.,Farmer,37.215,-88.2912,picket fence
IL58B,LANCS,Female,71,White,At least some college or beyond,Keeping house,37.215,-88.2912,picket fence
IL58C,LANCS,Male,33,White,At least some college or beyond,Teacher,37.215,-88.2912,"picket fence, pailing fence"
IN1A,LANCS,Male,66,White,Between 1 and 8 yrs.,Operative,41.3823,-87.0024,NR
IN1B,LANCS,Female,60,White,At least some high school,Keeping house,41.3823,-87.0024,picket fence
IN2A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,41.4412,-86.2768,picket fence
IN2B,LANCS,Male,56; 60,White,Unknown,Farmer,41.303,-86.3377,picket fence
IN3A,LANCS,Male,73,White,At least some high school,Clerical and sales,41.682,-85.9767,picket fence
IN3B,LANCS,Male,52,White,Between 1 and 8 yrs.,Farmer,41.581,-85.7051,picket fence
IN4A,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,40.268,-87.3314,"slat fence, picket fence"
IN4B,LANCS,Male,58,White,At least some college or beyond,Professional & technical,40.268,-87.3314,NR
IN5,LANCS,Male,81,White,At least some high school,Farmer,40.4494,-86.8421,"picket fence, pailing fence, board fences"
IN6A,LANCS,Male,67,White,Between 1 and 8 yrs.,Operative,40.5875,-86.675,picket
IN6B,LANCS,Female,76,White,At least some high school,Operative,40.5875,-86.675,picket fence
IN6C,LANCS,Male,56,White,At least some high school,"Manager, official, or proprietor",40.5875,-86.675,pickets
IN7A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,40.8381,-85.7303,picket fence
IN7B,LANCS,Male,87,White,Between 1 and 8 yrs.,Farmer,40.8381,-85.7303,"picket fence, pailing fence"
IN7C,LANCS,Female,67,White,At least some high school,Farmer's wife,40.8381,-85.7303,picket fence
IN8A,LANCS,Male,80,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",41.0302,-84.9609,picket fence
IN8B,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,41.2351,-84.8255,picket fence
IN8C,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,41.13,-85.179,picket fence
IN8D,LANCS,Female,50,White,At least some college or beyond,Farmer's wife,41.0302,-84.9609,picket fence
IN8E,LANCS,Female,50,White,Between 1 and 8 yrs.,Farmer,41.0302,-84.9609,picket fence
IN9A,LANCS,Female,86,White,Between 1 and 8 yrs.,Unknown,40.8306,-84.9291,picket fence
IN9B,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,40.7865,-84.9193,picket fence
IN9C,LANCS,Female,70,White,Between 1 and 8 yrs.,Keeping house,40.3652,-84.5615,board fence
IN9D,LANCS,Female,57,White,At least some high school,Keeping house,40.3652,-84.5615,picket fence
IN10A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer,39.7214,-87.2021,picket fence
IN10B,LANCS,Male,73,White,At least some high school,Farmer,39.7214,-87.2021,picket fence
IN10C,LANCS,Male,77,White,At least some college or beyond,Professional & technical,39.6379,-87.1622,"picket fence, slat fence"
IN11A,LANCS,Male,85,White,Between 1 and 8 yrs.,Farmer,39.9442,-86.5228,"picket fence, pailing fence"
IN11B,LANCS,Male,69,White,At least some high school,Operative,39.9533,-86.641,picket fence
IN12A,LANCS,Male,49,White,At least some high school,Farmer,39.7697,-86.0326,picket fence
IN12B,LANCS,Male,80,White,At least some high school,Farmer,39.7697,-86.0326,"picket fence, pailing fence"
IN12C,LANCS,Male,45,White,At least some high school,Farmer,39.7697,-86.0326,picket
IN12D,LANCS,Female,~60,White,Unknown,Unknown,39.7684,-86.1581,"picket fence, pailing fence"
IN12E,LANCS,Male,35,White,At least some college or beyond,Farmer,39.7323,-86.3172,"cribbing, picket fence"
IN13A,LANCS,Male,90,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",40.006,-85.7462,picket fence
IN13B,LANCS,Male,45,White,At least some high school,Farmer,40.0014,-85.6229,picket fence
IN13C,LANCS,Female,37,White,At least some college or beyond,Farmer's wife,40.1651,-85.6229,missing
IN13D,LANCS,Female,56,White,Between 1 and 8 yrs.,Keeping house,40.006,-85.7462,"picket fence, yard fence"
IN13E,LANCS,Male,68,White,At least some college or beyond,"Manager, official, or proprietor",40.277,-85.8419,picket fences
IN14A,LANCS,Male,92,White,Between 1 and 8 yrs.,Farmer,40.1031,-85.0021,picket fence
IN14B,LANCS,Female,59,White,At least some high school,Farmer's wife,40.1031,-85.0021,picket fence
IN14C,LANCS,Female,75,White,Unknown,Farmer's wife,40.1878,-85.1275,a pailing fence
IN15A,LANCS,Male,65,White,Between 1 and 8 yrs.,Craftsman or foreman,39.4667,-87.4139,picket fence
IN15B,LANCS,Male,41,White,At least some high school,Clerical and sales,39.4667,-87.4139,"picket fence, wood slated fence"
IN15C,LANCS,Male,35,White,At least some college or beyond,"Manager, official, or proprietor",39.4667,-87.4139,picket fence
IN16A,LANCS,Male,65,White,Between 1 and 8 yrs.,Operative,39.3858,-87.0024,picket fence
IN16B,LANCS,Male,86,White,At least some high school,Farmer,39.3858,-87.0024,picket fence
IN16C,LANCS,Male,82,White,At least some college or beyond,"Manager, official, or proprietor",39.5237,-87.125,picket fence
IN17A,LANCS,Male,80,White,No formal schooling,Farmer,39.1653,-86.5264,picket fence
IN17B,LANCS,Female,68,White,Between 1 and 8 yrs.,Keeping house,39.1653,-86.5264,"pailing fence, a plank fence"
IN18A,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,39.2073,-86.247,"slat fence, picket, pailing"
IN18B,LANCS,Female,64,White,Between 1 and 8 yrs.,Keeping house,39.2073,-86.247,picket fence
IN19A,LANCS,Male,80,White,Between 1 and 8 yrs.,Craftsman or foreman,39.4978,-85.4682,picket
IN19B,LANCS,Male,65,White,At least some high school,Farmer ,39.4978,-85.4682,"picket, pailing"
IN20A,LANCS,Male,82,White,At least some high school,Clerical and sales,39.4321,-85.0127,pailing fence
IN20B,LANCS,Male,65,White,Between 1 and 8 yrs.,Craftsman or foreman,39.4321,-85.0127,picket
IN21A,LANCS,Male,66,White,At least some high school,Service worker,38.6853,-87.3215,picket fence
IN21B,LANCS,Female,61,White,Between 1 and 8 yrs.,Keeping house,38.6853,-87.3215,picket
IN22A,LANCS,Male,77,White,Between 1 and 8 yrs.,Laborer,38.4386,-87.5594,rail fence
IN22B,LANCS,Female,73,White,At least some high school,Keeping house,38.4386,-87.5594,pickets
IN22C,LANCS,Female,62,White,At least some high school,Keeping house,38.3553,-87.5675,picket fence
IN23A,LANCS,Male,80,White,At least some high school,Farmer,37.5803,-87.2948,picket
IN23B,LANCS,Male,42,White,At least some high school,Clerical and sales,37.5803,-87.2948,picket fence
IN24A,LANCS,Female,66,White,At least some high school,Keeping house,37.8831,-87.0494,picket
IN24B,LANCS,Female,76,White,At least some high school,Keeping house,37.8831,-87.0494,picket
IN25A,LANCS,Male,79,White,At least some high school,Public servant,38.6617,-86.4517,picket fence
IN25B,LANCS,Male,62,White,Between 1 and 8 yrs.,Farmer,38.6617,-86.4517,"picket fence, lotsa picket fence, pailing fence, pailing"
IN25C,LANCS,Male,80,White,At least some college or beyond,"Manager, official, or proprietor",38.6617,-86.4517,picket fence
IN26A,LANCS,Female,77,White,Between 1 and 8 yrs.,Keeping house,38.1102,-86.1033,pailing fence
IN26B,LANCS,Male,78,White,Between 1 and 8 yrs.,Farmer,38.0612,-86.0733,"pailing fence, picket fence"
IN26C,LANCS,Female,65,White,At least some college or beyond,Farmer's wife,38.1102,-86.1033,picket fence
IN27A,LANCS,Female,79,White,Between 1 and 8 yrs.,Farmer's wife,38.9589,-85.3756,"picket fence, plank fence"
IN27B,LANCS,Female,60,White,Between 1 and 8 yrs.,Farmer,38.9633,-85.1012,NR
